s	p	o
http://lod.nbrp/Medaka/MT76	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000309
http://lod.nbrp/Medaka/MT76	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004654
http://lod.nbrp/Medaka/MT77	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000309
http://lod.nbrp/Medaka/MT77	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003317
http://lod.nbrp/Medaka/MT77	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003744
http://lod.nbrp/Medaka/MT80	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004654
http://lod.nbrp/Medaka/MT83	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002044
http://lod.nbrp/Medaka/MT83	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002931
http://lod.nbrp/Medaka/MT893	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002680
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002680
http://lod.nbrp/Medaka/MT894	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000012
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000375
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001051
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001126
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001129
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001462
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001616
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002251
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002877
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003323
http://lod.nbrp/Medaka/MT924	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000048
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000100
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000107
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000943
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003190
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004992
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006481
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006695
http://lod.nbrp/Medaka/MT934	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009132
http://lod.nbrp/Medaka/MT939	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002765
http://lod.nbrp/Medaka/MT939	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005973
http://lod.nbrp/Medaka/MT939	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006273
http://lod.nbrp/Medaka/MT939	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007536
http://lod.nbrp/Medaka/MT97	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004996
http://lod.nbrp/Medaka/MT97	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007399
http://lod.nbrp/Medaka/MT97	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009706
http://lod.nbrp/Medaka/MT977	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT977	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006463
